Name,Platform,USD Value,Total In,Total Out,Citizens,Proposals,Voters,Voter Participation,Image
Keytree,4,18692.25431,0.00249845,0,2,10,2,100,
lexDAO,4,15589.07174,23423.07439,7885.194298,41,176,24,58.53658537,lexdao.jpg
Markeing DAO,2,14358.61965,89741.37284,75382.75319,0,10,2,100,marketingdao.jpg
Burn Signal,5,13298.81348,20176.64396,7236.527618,0,0,0,-1,BurnSignal.jpg
Srt,4,12602.06413,18695.61635,6093.55222,3,6,2,66.66666667,
Status,4,12297.24167,115811.4925,103514.2508,3,26,1,33.33333333,status.png
Urza,2,11180.27937,22435.34321,11255.06384,5,4,1,20,Urza.png
HausDAO,2,10118.10794,330333.3419,320215.234,45,57,8,17.77777778,daohaus.jpg
yEarn DAO ($YFI Community Funding),2,10101.07194,75423.86539,65322.79345,10043,20,6,0.059743105,yearn.png
Warcamp,2,8570.361207,279980.3612,271410,72,301,30,41.09803922,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/warcamp.png
Metafam,4,7809.256626,7805.144413,0,294,68,24,8.163265306,metagame.jpg
Futhorcecosystem,4,7336.776637,828.9873164,0,6,40,6,100,Futhorcecosystem.jpg
Arca,4,7018.526211,25068.44738,18049.92117,9,116,20,100,arcadao.jpg
0x06Bdd90Cc7122D4531ab7CbB3C22D265Cb112ABD,4,6940.397154,29270.93033,22330.53318,0,20,6,100,
snglsDAO,1,6546.379333,2808.003738,0,9530,2,1,0.010493179,snglsDAO.jpg
BrightID,4,6392.194513,1596626.089,1595902.393,15,208,14,93.33333333,BrightID.jpg
Constitution,-1,5460.373624,45146569.73,90388803,9040,0,0,-1,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/constitution.jpeg
ShillShop,2,5119.287069,6142.887069,1023.6,12,21,6,50,daohaus.png
Arweavers,4,3497.272148,3497.272148,0,4,10,4,100,Arweavers.jpg
Betacolony,5,3264.491171,9992.206138,6753.883596,0,0,0,-1,Betacolony.jpg
brightiddev,4,3208.09879,336936.0761,333727.9773,3,134,3,100,BrightID.jpg
Raid Guild,2,2926.544203,225849.1217,222922.5775,0,54,12,100,RaidGuild.jpg
ApocalypseDAO,1,2636.231165,0,0,7,22,4,57.14285714,apocalypsedao.jpg
Meta Gamma Delta,2,2612.49302,41159.35659,38546.86357,1336,114,41,50.67365269,metagammadelta.jpg
CENNZnet Grants DAO,1,2327.171149,59281.52217,60692.72661,12,21,8,66.66666667,CENNZnetDao.png
MetaCartel Ventures China,2,2118.812556,17238.45411,15119.64155,17,19,12,70.58823529,metacartelventureschina.png
HelpDao,4,1772.030741,1998.441228,263.794242,3,5,1,33.33333333,HelpDAO.jpg
Cura Dao,1,1764.278535,59176.81351,98613.99386,55,49,11,20,CuraDAO.jpg
Orochi DAO V2,2,1498.691743,3996.882455,2498.190712,0,11,2,100,OrochiDao.jpg
Creative Collabo DAO,2,997.1263649,1495.689547,498.5631825,0,6,1,100,
Genesis Alpha,1,564.0140623,132766.0793,4478354.29,266,387,128,48.12030075,GenesisAlpha.jpg
Estonia,4,425.7289533,1171.531811,749.9150706,7,14,1,14.28571429,Estonia.png
MetaClan,2,250.9504871,4756.422119,4505.471631,65,88,8,12.30769231,metaclan.jpeg
Machi X DAO,2,232.4810366,41703.77502,41471.29398,876,49,6,0.684931507,MachiX.png
Fest Dao,1,215.8653909,219997.4939,225704.8001,39,86,15,38.46153846,FestDAO.jpg
MansaNetwork,4,155.3730526,5392.158979,5236.785926,5,20,2,40,
Elimuai,4,122.2587017,72082.85158,72801.72739,4,58,3,75,elimuai.jpg
Melon Council,4,74.7675119,74.7675119,0,20,156,12,60,meloncouncil.png
clr.fund,5,55.90832416,169600.8216,169544.9132,0,0,0,-1,clr.fund.jpg
6Ef0c0b0,4,14.73617134,826131113.2,826131098.5,5,276,5,100,
4c4bf6a8,4,11.32821034,765764329.4,765764318,5,266,6,100,
DeoraTest,2,10.88247219,11.09134881,0.208876625,0,16,4,100,
Daoversify,4,5.774015235,2913.070496,2907.296481,3,4,1,33.33333333,Daoversify.png
MetaCartel,2,2.815991822,5646128.698,5646125.882,0,146,41,100,MetaCartelDAO.jpg
Aragon Association DAO,4,1.42993656,1981351.649,1981350.219,3,142,2,66.66666667,aragon.png
mStable,4,1.00684966,85354658.78,85354657.77,7,267,2061,33.33333333,mstable.jpg
1UP,1,0.770920073,14467.16807,15176.68851,14,40,4,28.57142857,1UP.jpg
MyDaoDashboard,4,0.322956446,20524.94919,20524.62623,6,60,4,66.66666667,mydaodashboard.jpg
f25f0531,4,0.010201338,53570014.32,53570014.31,5,332,4,80,
Neptune DAO,3,5.10E-09,37915730.03,37915730.03,75,96,6,8,neptune.jpeg
centrifugelabic01,4,1.82E-12,20000,20000,16,24,12,75,
STAKEhaus,2,0,0,0,27,34,8,29.62962963,stakeHause.png
DAOSquare,2,0,0,0,55,31,5,9.090909091,daosquare.jpg
Dandy,4,0,0,0,6,1,3,50,
Valtech,4,0,0,0,1,8,1,100,
Collab19,4,0,2031.415508,2031.415508,76,86,19,25,Collab19.png
Meter Governance MTRG,11,0,0,0,1562,15,236,15.10883483,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/meter-mainnet.eth.png
ShieldDao,4,0,512080.6093,512080.6093,16,5,8,50,ShieldDao.jpg
Bancor 0x3EcD508F87Ef27417474B0FDF8dd90A3b2B337C9,4,0,0,0,1,0,0,0,bancor.png
MeebitsDAO,11,0,0,0,3146,8,61,1.938970121,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/manekari.eth.png
ArbitrageDAO,2,0,41131.46255,41131.46255,0,1,1,100,
Indexed,6,0,0,0,5632,16,272,4.829545455,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/indexed.png
OceanDAO,11,-1,-1,-1,10000,138,457,4.57,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/officialoceandao.eth.png
CrisisDAO,11,-1,-1,-1,37,57,57,100,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/crisisdao.eth.png
Proof Of Humanity,11,-1,-1,-1,10000,86,1093,10.93,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/poh.eth.png
Seedify.fund,11,-1,-1,-1,0,52,5,0,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/seedifyfund.eth.png
Pragma,11,-1,-1,-1,0,45,6,0,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/pragmadev2.eth.png
Carbonswap,11,-1,-1,-1,0,84,2182,0,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/carbonswap.eth.png
TeaSwap,11,-1,-1,-1,5482,114,70,1.276906239,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/tea-swap.eth.png
PancakeSwap,11,-1,-1,-1,0,656,50095,0,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/cake.eth.png
Farmgod DAO,11,-1,-1,-1,374,30,40,10.69518717,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/farmgod.eth.png
Stacker Ventures DDC,11,-1,-1,-1,0,21,20,0,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/stackerventures.eth.png
Friends With Benefits Pro,11,-1,-1,-1,5124,30,1233,24.06323185,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/friendswithbenefits.eth.png
EulerBeats OG DAO,12,-1,-1,-1,0,5,233,0,eulerBeatsOG.png
Moloch,2,-104411.6204,28862696.29,28967107.91,0,144,60,100,MolochDAO.jpg
BerezkafLexDAO,4,-248141.1605,42467348.49,45813453.44,89,1589,5,5.617977528,lexdao.jpg
