id,name,display_name,image,get_it_url,short_description,long_description,enabled,oauth,qm_client,created_at,updated_at,client_id,deleted_at,wp_post_id,number_of_connections,number_of_connector_imports,number_of_connector_requests,number_of_measurements,is_public,sort_order,slug
77,gmail,Gmail,https://upload.wikimedia.org/wikipedia/commons/4/4e/Gmail_Icon.png,https://gmail.com,"Automate your tracking by importing your email receipts from Amazon, Instacart, etc.","Automatically see how supplements and foods might be improving or exacerbating your symptom severity by connecting GMail and importing your email receipts from Amazon, Instacart, etc.",0,1,,2020-07-28 17:59:20,2020-08-12 02:41:25,gmail,,,,,,,,0,
78,foursquare,Foursquare,https://cdn2.iconfinder.com/data/icons/social-icons-33/128/Foursquare-512.png,https://foursquare.com/,Tracks locations.,"Foursquare helps you find the perfect places to go with friends. Discover the best food, nightlife, and entertainment in your area.",0,1,,2020-07-28 17:59:20,2020-08-12 02:41:25,foursquare,,,,,,,,0,
79,amazon,Amazon,https://lofrev.net/wp-content/photos/2016/06/amazon-logo-1.png,"",Imports foods and nutritional supplements via Chrome extension,Imports foods and nutritional supplements via Chrome extension,0,1,,2020-07-28 17:59:19,2020-08-12 02:41:24,amazon,,,,,,,,0,
80,mint,Mint,https://static-s.aa-cdn.net/img/gp/20600000039023/Vd9ubTf3GHgogznhGqYLb-hFtx6gqhZ5h5wBzSf-1Wf_GsFHRf1Lk_HX0muiCTp1fL_u=w300?v=1,"",Automatically import financial transactions and categories,"Import your transactions from the Mint.com website. Mint allows you to manage your money, pay your bills and track your credit score with Mint.",0,0,,2020-07-28 17:59:21,2020-08-12 02:41:26,mint,,,,,,,,0,
81,twitter,Twitter,https://help.twitter.com/content/dam/help-twitter/brand/logo.png,https://twitter.com/,Tracks social interaction.,"From breaking news and entertainment to sports and politics, get the full story with all the live commentary.",1,1,,2020-07-28 17:59:25,2020-08-12 02:41:29,twitter,,,,,,,,0,
82,linkedin,LinkedIn,https://image.flaticon.com/icons/png/512/174/174857.png,https://linkedin.com/,Tracks social interaction.,"Manage your professional identity. Build and engage with your professional network. Access knowledge, insights and opportunities.",1,1,,2020-07-28 17:59:21,2020-08-12 02:41:26,linkedin,,,,,,,,0,
84,googleplus,Google,https://static.quantimo.do/img/connectors/google-logo-icon-PNG-Transparent-Background.png,"",Imports profile information,Imports your profile information from Google,1,1,,2020-07-28 17:59:21,2020-08-12 02:41:26,googleplus,,,,,,,,0,
85,ebay,Ebay,https://static.quantimo.do/img/connectors/ebay_logo.png,https://ebay.com,Tracks purchases,"Buy and sell electronics, cars, fashion apparel, collectibles, sporting goods, digital cameras, baby items, coupons, and everything else.",0,1,,2020-07-28 17:59:19,2020-08-12 02:41:24,ebay,,,,,,,,0,
87,slack,Slack,https://upload.wikimedia.org/wikipedia/commons/7/76/Slack_Icon.png,"",Tracks social interaction,"Slack brings all your communication together in one place. It's real-time messaging, archiving and search for modern teams.",1,1,,2020-07-28 17:59:24,2020-08-12 02:41:28,slack,,,,,,,,0,
88,google-tasks,Google Tasks,https://www.gstatic.com/images/branding/product/1x/tasks_96dp.png?dcb_=0.21458668271868886,https://calendar.google.com,"Automate your tracking by creating calendar events with a title containing the value, followed by the unit, followed by the variable name. To track an apple every day, create a repeating event called ""1 serving Apples.""",Use Google Tasks to automatically track repeated events like treatments.,0,1,,2020-07-28 17:59:20,2020-08-12 02:41:25,google-tasks,,,,,,,,0,
89,tigerview,TigerView,https://image.flaticon.com/icons/svg/141/141796.svg,https://tigerview.ecusd7.org,Tracks academic performance and student behaviour.,Web-based parent access system for student academic performance,1,0,,2020-07-28 17:59:24,2020-09-10 21:31:16,tigerview,,,,,,,,0,
90,air-quality,Air Quality,https://static.quantimo.do/img/connectors/air-quality-connector.jpg,"",Tracks pollution,"Automatically import particulate pollution, ozone pollution and air quality.",1,0,,2020-07-28 17:59:18,2020-08-12 02:41:23,air-quality,,,,,,,,0,
91,pollen-count,Pollen Count,https://cdn2.iconfinder.com/data/icons/bee-farm-filled/64/bee_farm-08-512.png,"",Tracks pollen count,Automatically import pollen count for various species and find out how it could be affecting your symptoms.,1,0,,2020-07-28 17:59:23,2020-08-12 02:41:28,pollen-count,,,,,,,,0,
92,daylight,Daylight,https://static.quantimo.do/img/agriculture/png/sun.png,"",Tracks hours of daylight,Automatically import the number of hours between sunrise and sunset to see if you might be affected by Seasonal Affective Disorder.,1,0,,2020-07-28 17:59:19,2020-08-12 02:41:24,daylight,,,,,,,,0,
93,ameritrade,TD Ameritrade,https://developer.tdameritrade.com/sites/default/files/logo.png,https://www.tdameritrade.com,Stock data,Stock data,0,1,0,2020-11-27 03:23:32,2020-12-01 05:41:25,ameritrade,,,,,,,,0,
95,alpaca,Alpaca,https://app.alpaca.markets/resources/images/logo-inverse.png,https://app.alpaca.markets/,Algorithmic trading,Algorithmic trading,0,1,,2020-07-28 17:59:18,2020-08-12 02:41:24,alpaca,,,,,,,,0,
96,google-sheets,Google Sheets,https://applets.imgix.net/https%3A%2F%2Fassets.ifttt.com%2Fimages%2Fchannels%2F799977804%2Ficons%2Fon_color_large.png%3Fversion%3D0?ixlib=rails-2.1.3&w=240&h=240&auto=compress&s=dd7fc1b8b5df19e872f5fefe14c107cd,https://calendar.google.com,Connect Google Sheets to automatically import your data.,"Import from a spreadsheet containing a Variable Name, Value, Measurement Event Time, and Abbreviated Unit Name field.  Here is an <a href=""http://bit.ly/2jz7CNl"" target=""_blank"">example spreadsheet</a> with allowed column names, units and time format.",0,1,0,2020-10-27 03:28:19,2020-10-27 03:28:19,google-sheets,,,,,,,,0,
97,open-humans,Open Humans,https://i.imgur.com/WE8KUx7.png,https://www.openhumans.org/,Open Humans empowers people with their personal data.,"From genomes to GPS: you can explore data analyses, do citizen science, and donate data to researchers.",0,1,0,2021-06-01 19:58:42,2021-06-10 02:34:42,open-humans,,,,,,,,100,
